blame_mean_rms,cohen_d,cohen_dz,delta_pct,delta_rms,it_delta_mean,it_minus_pt_delta,layer,model,neutral_mean_rms,p,paired_t,pt_delta_mean,q_bh,significant_q05,test,welch_t
38.61551948103856,-1.3452952041083874,,-0.3040250278304775,-16.86854391949528,,,0,PT,55.48406340053384,9.625671796164248e-07,,,2.1818189404638963e-06,True,blame_vs_neutral,-6.851690946286183
40.8711384937224,-1.0167669209065706,,-0.2629386142808023,-14.580333100928875,,,1,PT,55.451471594651274,0.017754490215131837,,,0.017754490215131837,True,blame_vs_neutral,-2.7890919241702403
57.49877828700253,-1.1383658641434964,,-0.2548999001278788,-19.670421256616955,,,2,PT,77.16919954361948,0.009470806477267486,,,0.009757800612942258,True,blame_vs_neutral,-3.1404749455801055
70.80803661710169,-1.2496836673902914,,-0.27205252902745714,-26.462768544844494,,,3,PT,97.27080516194619,0.0015188171283021853,,,0.001613743198821072,True,blame_vs_neutral,-4.080216517158256
151.41048219268447,-1.6278444935012708,,-0.27981671172377853,-58.82833431066655,,,4,PT,210.23881650335102,8.952568548141685e-06,,,1.0146244354560577e-05,True,blame_vs_neutral,-6.632287660429949
209.39367186501795,-1.6660038982963186,,-0.2936354930559211,-87.04488047803619,,,5,PT,296.43855234305414,3.438898497127637e-06,,,5.1545442506984834e-06,True,blame_vs_neutral,-7.052713632487895
247.7627493003974,-1.6890704332342343,,-0.29361576237157594,-102.98509599725895,,,6,PT,350.74784529765634,3.861741410689007e-06,,,5.16579335024113e-06,True,blame_vs_neutral,-7.045048253898596
281.8585887272869,-1.3790502906975972,,-0.35698789232213174,-156.48243994349895,,,7,PT,438.3410286707858,4.3314049506245664e-08,,,3.3429259319148455e-07,True,blame_vs_neutral,-7.6769460862605
341.7943598040059,-1.282461785489012,,-0.32922985536354016,-167.76075760398436,,,8,PT,509.5551174079903,2.2282529509584802e-08,,,3.3429259319148455e-07,True,blame_vs_neutral,-7.537733003657047
426.4167761470092,-1.4218825124530499,,-0.3038100459909516,-186.0838405186933,,,9,PT,612.5006166657025,2.0752368474292613e-07,,,6.414368437508627e-07,True,blame_vs_neutral,-7.424291574609255
538.8703727857406,-1.6343794658432977,,-0.2289391906081427,-159.99846637981443,,,10,PT,698.8688391655551,2.67068873226613e-06,,,4.7587776390839875e-06,True,blame_vs_neutral,-7.09328219283866
608.5324797279852,-1.688930376350157,,-0.2466192721674927,-199.20318067143376,,,11,PT,807.735660399419,8.681697022567069e-07,,,2.1818189404638963e-06,True,blame_vs_neutral,-7.579565999221295
580.9910951288224,-1.2406597369332841,,-0.3615441500300237,-329.0030652444341,,,12,PT,909.9941603732565,2.688868978126548e-10,,,9.142154525630264e-09,True,blame_vs_neutral,-8.135704886234038
750.0477626956626,-1.748566515255537,,-0.24929424537852066,-249.07573952639177,,,13,PT,999.1235022220544,9.46319829596982e-07,,,2.1818189404638963e-06,True,blame_vs_neutral,-7.658928857330221
844.3266953380632,-1.6779622778856909,,-0.2429401901737892,-270.9440988306105,,,14,PT,1115.2707941686738,1.568263283550677e-06,,,3.119073172599274e-06,True,blame_vs_neutral,-7.355968456436591
828.1892671010177,-1.288018611116113,,-0.28317609787356157,-327.1701798206278,,,15,PT,1155.3594469216455,3.965770480464935e-08,,,3.3429259319148455e-07,True,blame_vs_neutral,-7.441234620627097
915.3475152763574,-1.4709338327169144,,-0.2243985923724414,-264.8302232817248,,,16,PT,1180.1777385580822,1.4101656887843355e-06,,,2.996602088666713e-06,True,blame_vs_neutral,-7.00550718003512
1017.3463830573785,-1.3764299063577363,,-0.21744589954025934,-282.6869085191404,,,17,PT,1300.0332915765189,1.6512740325525569e-06,,,3.119073172599274e-06,True,blame_vs_neutral,-6.769079228475548
1033.9087924660814,-1.0607689951806476,,-0.24105098020198215,-328.3813818347428,,,18,PT,1362.2901743008242,1.206803432749293e-07,,,6.069629830620536e-07,True,blame_vs_neutral,-6.587444282778374
1071.6753710685498,-1.0275663761021616,,-0.23287964101758046,-325.335356804871,,,19,PT,1397.0107278734208,1.4916236785025371e-07,,,6.069629830620536e-07,True,blame_vs_neutral,-6.45637858442118
1168.2657055214356,-1.2136778740556655,,-0.17991406465610005,-256.29927623444314,,,20,PT,1424.5649817558788,3.7834742042103258e-06,,,5.16579335024113e-06,True,blame_vs_neutral,-6.206652973140884
1150.1742717805005,-0.9942703859019035,,-0.22056906718564226,-325.4847293672576,,,21,PT,1475.659001147758,1.7443120592983355e-07,,,6.069629830620536e-07,True,blame_vs_neutral,-6.335910749403836
1280.940130114925,-1.229720506387006,,-0.16316458610316462,-249.75528363442504,,,22,PT,1530.69541374935,3.9503125619491e-06,,,5.16579335024113e-06,True,blame_vs_neutral,-6.227579470655778
1343.444814536242,-1.2540736704862623,,-0.16731163956092773,-269.93766847078655,,,23,PT,1613.3824830070284,3.4868975813548564e-06,,,5.1545442506984834e-06,True,blame_vs_neutral,-6.310968079510236
1325.8036328295377,-0.9036461648022464,,-0.19721607753331039,-325.7038223220072,,,24,PT,1651.507455151545,2.8604361974198867e-07,,,8.104569226023012e-07,True,blame_vs_neutral,-6.001945473675791
1471.6690758701475,-1.0791859462916296,,-0.1478933762949932,-255.4259084068774,,,25,PT,1727.0949842770249,2.7992809641670514e-06,,,4.7587776390839875e-06,True,blame_vs_neutral,-5.991692581848927
1371.3691770457676,-0.79981142578455,,-0.2311405323637644,-412.271702427141,,,26,PT,1783.6408794729086,4.9160675469335965e-08,,,3.3429259319148455e-07,True,blame_vs_neutral,-6.0386795352063904
1626.5792761690368,-0.885194977276932,,-0.13125738037207518,-245.7580990430681,,,27,PT,1872.337375212105,4.587943404372623e-06,,,5.571074133881043e-06,True,blame_vs_neutral,-5.43460396112668
1572.0568729253464,-0.732592290111209,,-0.21225424227152456,-423.5830369086227,,,28,PT,1995.639909833969,1.7851852443001576e-07,,,6.069629830620536e-07,True,blame_vs_neutral,-5.689282281684374
1813.468102234001,-0.8042014861402782,,-0.11917165109312679,-245.35312494897244,,,29,PT,2058.8212271829734,4.205803937592961e-06,,,5.296197551042988e-06,True,blame_vs_neutral,-5.261144058786102
1623.5054704159531,-0.7317354023687198,,-0.21247949330352237,-438.0350947006284,,,30,PT,2061.5405651165815,1.5010412555585005e-07,,,6.069629830620536e-07,True,blame_vs_neutral,-5.723079547616401
